"id","fdc_id","nutrient_id","amount"
"1","100001","1003","0.85"
"2","100001","1004","81.11"
"3","100001","1005","0.06"
"4","100001","1008","717"
"5","100001","1003","0.99"
"6","100002","1003","12.56"
"7","100002","1004","9.51"
"8","100002","1005","0.72"
"9","100002","1008","143"
"10","100003","1003","22.5"
"11","100003","1004","2.5"
"12","100003","1005","0"
"13","100004","1003","2.69"
"14","100004","1004","0.28"
"15","100004","1005","28.17"
"16","100004","1008","130"
"17","100005","1003","20"
"18","100006","1004","5"
"19","100006","1005","10"
"20","100006","1008","100"
"21","100001","1087","24"
